서울정수캠퍼스,[학사] 2021년 서울시장애인기능경기대회 자원봉사자 모집안내,교무기획처,2021-06-23,https://www.kopo.ac.kr/jungsu/board.do?menu=254&mode=view&post=624415,
서울정수캠퍼스,[행정] 2021년도 대학운영직원(청소원) 채용 공고,행정처,2021-06-22,https://www.kopo.ac.kr/jungsu/board.do?menu=254&mode=view&post=624262,
서울정수캠퍼스,[입시] [신중년특화과정] 2021학년도(하반기) 대면/비대면 면접 신청 안내,교무기획처,2021-06-18,https://www.kopo.ac.kr/jungsu/board.do?menu=254&mode=view&post=623956,
서울정수캠퍼스,[행정] 2021년도 1학기 연구실 안전 온라인교육 조기수료 이벤트 당첨자 발표,행정처,2021-06-18,https://www.kopo.ac.kr/jungsu/board.do?menu=254&mode=view&post=623954,
서울정수캠퍼스,[학사] [폴리텍사랑 자원봉사활동] 온택트(ontact) 챌린지(challenge) 줍깅 실시 알림!,학생처,2021-06-16,https://www.kopo.ac.kr/jungsu/board.do?menu=254&mode=view&post=623726,
서울정수캠퍼스,[학사] 2021학년도 1학기 강의만족도 평가 실시 안내,교무기획처,2021-06-08,https://www.kopo.ac.kr/jungsu/board.do?menu=254&mode=view&post=622986,
서울정수캠퍼스,[학사] [하이테크과정] 2021-1학기 중간.기말 통합평가 실시 안내,교무기획처,2021-06-07,https://www.kopo.ac.kr/jungsu/board.do?menu=254&mode=view&post=622728,
서울정수캠퍼스,[학사] 2021년 재학생 국제영어캠프 참가학생 선발현황,학생처,2021-06-02,https://www.kopo.ac.kr/jungsu/board.do?menu=254&mode=view&post=622316,
서울정수캠퍼스,[학사] 2021학년도 1학기 기말고사 일정 안내,교무기획처,2021-06-02,https://www.kopo.ac.kr/jungsu/board.do?menu=254&mode=view&post=622261,
서울정수캠퍼스,[학사] 2021년도 2학기 생활관 입사신청안내,학생처,2021-05-31,https://www.kopo.ac.kr/jungsu/board.do?menu=254&mode=view&post=621970,
서울정수캠퍼스,[행정] 구내식당 모바일 식권 시스템 도입 안내,행정처,2021-04-22,https://www.kopo.ac.kr/jungsu/board.do?menu=254&mode=view&post=618853,
서울정수캠퍼스,[행정] 2021년도 1학기 연구실 안전 온라인교육 실시 알림,행정처,2021-03-29,https://www.kopo.ac.kr/jungsu/board.do?menu=254&mode=view&post=616617,
서울정수캠퍼스,[학사] 훈련수당 관련 안내 [하이테크/ 신중년특화과정],교무기획처,2021-03-24,https://www.kopo.ac.kr/jungsu/board.do?menu=254&mode=view&post=616355,
